filename,label,prediccion
pop.00081.wav.0,pop,pop
metal.00085.wav.13,metal,metal
metal.00088.wav.23,metal,metal
metal.00057.wav.8,metal,metal
metal.00070.wav.12,metal,metal
metal.00090.wav.13,metal,metal
hiphop.00084.wav.7,hiphop,hiphop
rock.00063.wav.21,rock,rock
blues.00087.wav.2,blues,blues
disco.00075.wav.29,disco,disco
metal.00082.wav.20,metal,metal
country.00074.wav.19,country,country
classical.00058.wav.18,classical,classical
disco.00054.wav.24,disco,disco
jazz.00001.wav.24,jazz,jazz
classical.00009.wav.28,classical,classical
reggae.00058.wav.3,reggae,reggae
hiphop.00050.wav.25,hiphop,hiphop
classical.00085.wav.4,classical,classical
hiphop.00078.wav.8,hiphop,hiphop
classical.00069.wav.24,classical,classical
pop.00097.wav.15,pop,pop
reggae.00026.wav.5,reggae,reggae
jazz.00011.wav.12,jazz,jazz
hiphop.00095.wav.17,hiphop,hiphop
country.00095.wav.18,country,country
classical.00043.wav.6,classical,classical
reggae.00097.wav.2,reggae,reggae
disco.00091.wav.7,disco,disco
blues.00044.wav.22,blues,blues
metal.00060.wav.25,metal,metal
rock.00049.wav.14,rock,rock
hiphop.00048.wav.23,hiphop,hiphop
classical.00042.wav.25,classical,classical
pop.00039.wav.20,pop,pop
jazz.00055.wav.24,jazz,jazz
pop.00099.wav.5,pop,pop
metal.00020.wav.21,metal,metal
classical.00084.wav.23,classical,classical
blues.00074.wav.27,blues,blues
disco.00047.wav.10,disco,classical
jazz.00021.wav.7,jazz,jazz
pop.00041.wav.2,pop,pop
rock.00033.wav.3,rock,classical
country.00045.wav.12,country,country
rock.00065.wav.9,rock,rock
disco.00081.wav.27,disco,disco
hiphop.00089.wav.1,hiphop,hiphop
pop.00050.wav.28,pop,pop
rock.00052.wav.15,rock,rock
hiphop.00076.wav.8,hiphop,hiphop
disco.00089.wav.7,disco,disco
hiphop.00044.wav.8,hiphop,hiphop
jazz.00010.wav.5,jazz,jazz
hiphop.00032.wav.22,hiphop,hiphop
rock.00024.wav.22,rock,rock
jazz.00001.wav.28,jazz,jazz
hiphop.00073.wav.7,hiphop,hiphop
reggae.00031.wav.20,reggae,reggae
disco.00029.wav.24,disco,pop
pop.00030.wav.19,pop,pop
country.00084.wav.2,country,country
metal.00060.wav.21,metal,metal
disco.00029.wav.19,disco,disco
metal.00090.wav.11,metal,metal
country.00063.wav.8,country,country
hiphop.00067.wav.11,hiphop,hiphop
reggae.00034.wav.26,reggae,reggae
country.00044.wav.26,country,country
reggae.00044.wav.21,reggae,reggae
metal.00049.wav.19,metal,metal
pop.00073.wav.26,pop,pop
country.00052.wav.16,country,country
jazz.00067.wav.26,jazz,jazz
hiphop.00010.wav.19,hiphop,hiphop
metal.00095.wav.22,metal,hiphop
metal.00087.wav.11,metal,metal
jazz.00088.wav.11,jazz,jazz
rock.00058.wav.27,rock,rock
pop.00021.wav.12,pop,pop
pop.00081.wav.12,pop,pop
metal.00029.wav.9,metal,metal
disco.00007.wav.18,disco,disco
pop.00047.wav.4,pop,pop
disco.00087.wav.6,disco,disco
reggae.00090.wav.21,reggae,reggae
jazz.00033.wav.14,jazz,jazz
country.00057.wav.0,country,country
pop.00056.wav.29,pop,pop
pop.00011.wav.16,pop,pop
reggae.00072.wav.13,reggae,hiphop
metal.00069.wav.26,metal,metal
hiphop.00007.wav.7,hiphop,hiphop
hiphop.00037.wav.29,hiphop,hiphop
metal.00042.wav.6,metal,metal
country.00080.wav.0,country,country
hiphop.00035.wav.3,hiphop,hiphop
reggae.00007.wav.0,reggae,reggae
reggae.00006.wav.18,reggae,reggae
country.00034.wav.21,country,country
blues.00095.wav.8,blues,blues
jazz.00070.wav.27,jazz,jazz
country.00025.wav.26,country,country
metal.00080.wav.27,metal,metal
metal.00097.wav.29,metal,metal
jazz.00050.wav.10,jazz,jazz
rock.00058.wav.23,rock,rock
metal.00013.wav.29,metal,metal
country.00066.wav.14,country,country
jazz.00086.wav.23,jazz,jazz
disco.00098.wav.26,disco,country
blues.00066.wav.10,blues,blues
pop.00000.wav.22,pop,pop
pop.00021.wav.27,pop,pop
country.00011.wav.13,country,country
classical.00035.wav.3,classical,classical
rock.00003.wav.9,rock,rock
blues.00037.wav.13,blues,blues
hiphop.00030.wav.6,hiphop,hiphop
reggae.00059.wav.29,reggae,reggae
disco.00001.wav.23,disco,disco
blues.00081.wav.29,blues,blues
rock.00092.wav.0,rock,rock
reggae.00022.wav.10,reggae,reggae
hiphop.00058.wav.17,hiphop,hiphop
blues.00000.wav.18,blues,disco
pop.00015.wav.6,pop,pop
pop.00011.wav.3,pop,classical
hiphop.00006.wav.6,hiphop,hiphop
pop.00085.wav.1,pop,pop
country.00037.wav.23,country,country
jazz.00059.wav.12,jazz,jazz
blues.00092.wav.23,blues,blues
jazz.00039.wav.5,jazz,jazz
rock.00047.wav.9,rock,rock
rock.00051.wav.11,rock,rock
hiphop.00077.wav.1,hiphop,hiphop
metal.00051.wav.0,metal,metal
reggae.00060.wav.20,reggae,reggae
country.00067.wav.21,country,country
metal.00075.wav.20,metal,metal
rock.00040.wav.18,rock,rock
metal.00088.wav.5,metal,metal
pop.00088.wav.23,pop,pop
hiphop.00049.wav.11,hiphop,hiphop
blues.00049.wav.29,blues,blues
country.00007.wav.4,country,country
hiphop.00012.wav.22,hiphop,metal
disco.00074.wav.29,disco,disco
metal.00016.wav.19,metal,metal
blues.00058.wav.23,blues,blues
pop.00045.wav.7,pop,pop
pop.00076.wav.1,pop,pop
rock.00038.wav.7,rock,rock
metal.00077.wav.11,metal,metal
reggae.00007.wav.18,reggae,reggae
reggae.00000.wav.5,reggae,reggae
blues.00009.wav.6,blues,blues
classical.00035.wav.18,classical,classical
reggae.00054.wav.14,reggae,reggae
country.00066.wav.9,country,country
