codigo,lista,usuario
1,13_hkm,dak_53
1,87_vio,pis_64
1,74_ttp,exw_78
1,84_kes,ggj_88
1,65_vqt,xlw_66
1,82_htj,okh_59
1,55_xwo,wff_98
1,19_mbc,yva_50
2,86_yix,dsj_5
2,10_rjh,xct_85
2,2_kfr,ymg_66
2,5_nxf,dxi_34
2,11_jfr,myc_65
2,73_ljj,eco_63
2,86_xmk,fgu_15
2,79_ygr,vvr_9
2,57_xkm,xqh_34
2,69_frc,mcn_38
2,39_egw,ldv_63
2,87_cvt,oaa_9
2,54_ssp,qmn_57
2,71_llj,gcf_46
2,12_gld,rvg_93
2,99_lvx,djf_55
2,10_pso,cjf_32
2,79_wds,jpq_12
2,65_khd,yfo_70
2,54_qyx,xpe_56
2,7_udd,rfp_88
2,71_yss,uxg_86
2,48_aqt,fwx_90
2,21_mxe,olc_6
2,38_xdh,sld_68
2,46_blv,uar_91
2,93_pvr,nmh_86
2,5_vos,cbi_32
2,75_aeh,inr_75
2,91_cfv,xyq_13
2,36_khd,aak_60
2,89_tot,skd_36
2,41_uty,www_16
2,86_pxa,xfw_19
2,33_okv,rkt_90
2,93_abr,srp_38
2,99_ryc,guh_27
2,72_jwf,yrs_27
2,58_lip,hui_43
2,78_xnh,bct_6
2,8_ocx,uhm_36
2,65_cfr,fxg_78
2,76_nhq,hac_99
2,6_rba,ige_75
2,16_waa,lmd_89
2,72_vpn,bog_91
2,94_qmj,lrq_83
2,25_mrk,agq_91
2,36_kfk,aic_1
2,57_btq,hpu_1
2,50_mkw,tym_56
2,65_yyl,whb_62
2,68_dxp,fvs_28
2,71_jse,skp_71
2,41_dxp,jjq_46
2,31_ygq,jqi_68
2,83_lbk,gtm_61
2,52_rom,ijx_29
2,21_bfm,sps_4
3,93_wis,boq_86
3,73_tpp,sgc_36
3,81_ebv,wyp_26
3,31_hkt,qxd_58
3,90_nlp,pae_14
3,15_xvt,iny_28
3,78_nfs,jgd_12
3,70_xsj,mbx_59
3,89_tdd,vea_28
3,59_rjq,xvb_57
3,9_uey,gyn_8
3,64_bhr,wjr_76
3,25_vyv,knl_94
