codigo,dia,reproducciones
1,1,93664
1,2,7047
1,3,65224
1,4,55270
1,5,55821
1,6,27559
1,7,34811
1,8,4878
1,9,11864
1,10,75646
1,11,13172
1,12,53738
1,13,66106
1,14,60044
1,15,22046
1,16,54504
1,17,50607
1,18,91637
1,19,54504
1,20,54504
1,21,81023
1,22,26681
1,23,75288
1,24,41101
1,25,99048
1,26,33960
1,27,77865
1,28,43481
1,29,54504
1,30,68495
2,1,50286
2,2,20395
2,3,39468
2,4,28997
2,5,98892
2,6,22057
2,7,30220
2,8,4754
2,9,66980
2,10,50505
2,11,24060
2,12,50519
2,13,10697
2,14,28146
2,15,10405
2,16,52285
2,17,6470
2,18,46082
2,19,5409
2,20,28977
2,21,49746
2,22,19312
2,23,57039
2,24,28638
2,25,77905
2,26,90054
2,27,63121
2,28,27927
2,29,85260
2,30,41753
3,1,90466
3,2,78387
3,3,63142
3,4,775
3,5,77078
3,6,13714
3,7,27558
3,8,41324
3,9,49561
3,10,28734
3,11,27495
3,12,37345
3,13,52383
3,14,10085
3,15,85795
3,16,47820
3,17,5364
3,18,36417
3,19,40787
3,20,96971
3,21,55619
3,22,26985
3,23,48300
3,24,93387
3,25,17919
3,26,41324
3,27,18319
3,28,64733
3,29,58397
3,30,34834
4,1,91823
4,2,60940
4,3,1882
4,4,83507
4,5,35774
4,6,26952
4,7,80873
4,8,1296
4,9,62342
4,10,93108
4,11,63115
4,12,13613
4,13,68379
4,14,38169
4,15,68787
4,16,70745
4,17,83679
4,18,60940
4,19,59476
4,20,59538
4,21,21872
4,22,70665
4,23,67107
4,24,55232
4,25,34833
4,26,53132
4,27,93305
4,28,54372
4,29,90403
4,30,21242
5,1,10284
5,2,36755
5,3,10518
5,4,16141
5,5,83577
5,6,62614
5,7,23274
5,8,26068
5,9,61880
5,10,26384
5,11,62561
5,12,93374
5,13,84310
5,14,63817
5,15,44971
5,16,445
5,17,10418
5,18,47753
5,19,23523
5,20,44971
5,21,57999
5,22,39352
5,23,65893
5,24,40346
5,25,82972
5,26,76992
5,27,63248
5,28,27434
5,29,56810
5,30,23314
6,1,48582
6,2,95948
6,3,96694
6,4,88428
6,5,68802
